Cluster,"T_0,{keV}","r_t,{kpc}","a,{1}","b,{1}","c,{1}","T_min,{keV}","r_cool,{kpc}","a_cool,{1}","b_t_500,{1}","r_det,{kpc}","n_0,{1/cm3}","r_c,{kpc}","r_s,{kpc}","ALPHA,{1}","BETA,{1}","EPSILON,{1}","n_02,{1/cm}","r_c2,{kpc}","BETA_2,{1}","BETA_eff,{1}","r_min,{kpc}","r_500,{kpc}","m_p,{kg}","GAMMA,{1}","NFW_RHO0,{Msol/kpc^3}","NFW_RS,{kpc}"
A133,3.61,1420,0.12,5,10,0.9747,57,3.88,0.25,1100,0.004705,94.6,1239.9,0.916,0.526,4.943,0.0247,75.83,3.607,0.82,40,1007,1.67E-27,3,12249.3120784652,943.610537446859
A262,2.42,350,-0.02,5,1.1,1.5488,19,5.25,,450,0.002278,70.7,365.6,1.712,0.345,1.76,0,0,0,0.6,10,650,1.67E-27,3,755.800974342135,5945.07218069203
A383,8.78,3030,-0.14,1.44,8,6.585,81,6.17,0.12,800,0.007226,112.1,408.7,2.013,0.577,0.757,0.0002,11.54,1,0.69,25,1337,1.67E-27,3,58783.6695564686,494.974756515216
A478,11.06,270,0.02,5,0.4,4.2028,129,1.6,0.1,2000,0.01017,155.5,2928.9,1.254,0.704,5,0.0762,23.84,1,0.76,30,1299,1.67E-27,3,52461.4478181667,759.514783636891
A907,10.19,240,0.16,5,0.4,3.2608,208,1.48,0.13,1300,0.006252,136.9,1887.1,1.556,0.594,4.998,0,0,0,0.72,40,1235,1.67E-27,3,28128.2196981774,862.070512700771
A1413,7.58,1840,0.08,4.68,10,1.7434,30,0.75,0.22,1800,0.005239,195,2153.7,1.247,0.661,5,0,0,0,0.81,20,732,1.67E-27,3,1781.54699578727,9448.43769816775
A1785,9.68,550,0,1.63,0.9,0.968,77,1.03,0.16,1500,0.031175,38.2,682.5,0.165,0.491,2.606,0.5695,3,1,0.87,40,1362,1.67E-27,3,42710.1568821034,656.938968811464
A1191,2.83,860,0.04,2.87,4.7,1.3584,42,2.12,0.22,1000,0.006405,59.9,1064.7,1.735,0.515,5,0.0007,5,0.517,0.71,10,700,1.67E-27,3,17865.4416466006,614.534541016755
A2029,16.19,3040,-0.03,1.57,5.9,1.619,93,0.48,0.2,2250,0.015721,84.2,908.9,1.164,0.545,1.669,0.351,5,1,0.76,20,634,1.67E-27,3,24488.2451326537,1209.78187065399
A2390,19.34,2460,-0.1,5,10,2.3208,214,0.08,0.06,2500,0.003605,308.2,1200,1.891,0.658,0.563,0,0,0,0.7,80,944,1.67E-27,3,30264.1551591414,1216.81783953589
RXJ1159+5531,3.74,100,0.09,0.77,0.4,0.4862,22,1.68,,600,0.000191,591.9,640.7,1.828,0.838,4.869,0.0457,11.99,1,,10,1096,1.67E-27,3,120750.243259357,70.2115428282129
MKW4,2.26,100,-0.07,5,0.5,1.921,16,9.62,0.22,550,0.000196,578.5,595.1,1.895,1.119,1.602,0.0108,30.11,1.971,0.91,5,1416,1.67E-27,3,4678.6858302033,819.257455801966
USGCS152,3.24,590,0.01,0.27,0.8,1.1988,31,3.24,,300,0.027098,5.8,467.5,2.612,0.453,3.28,0,0,0,,20,,1.67E-27,3,0,0
